;Unnamed: 0.1;EXPO;ft_23_categ;Identifiant;ft_2_categ;ft_4_categ;ft_5_categ;ft_6_categ;ft_19_categ;ft_21_categ;ft_24_categ;ft_18_categ_V;ft_18_categ_base;ft_18_categ_eff;ft_18_categ_effpi;ft_18_categ_pi;ft_22_categ_c_Ancien;ft_22_categ_c_Reconstruction;ft_22_categ_c_Annees-70;ft_22_categ_c_Recent-80;ft_22_categ_c_Moderne-90;superficief_petit;superficief_moyen;superficief_trés-grand;superficief_Géant;Insee;Frequence;"Fréquence moyenne de sinistres
mouvement de terrain";"Fréquence moyenne de sinistres
sécheresse";"Fréquence moyenne de sinistres
séisme";Périls
0;0;1.0;0.0;18702;2014;0;1;0;2;4;2;0;1;0;0;0;0;0;0;0;1;0;0;1;0;65440;1;0.0;1.0;0.0;0.0
1;1;1.0;0.0;3877;2014;0;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;14341;1;0.0;0.0;0.0;0.0
2;2;1.0;0.0;4942;2013;1;1;1;2;4;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;75056;1;1.0;1.0;0.0;0.0
3;3;0.246575342;0.0;13428;2013;0;0;1;2;3;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;92004;1;1.0;0.0;0.0;0.0
4;4;1.0;0.0;17137;2015;0;1;0;2;2;4;0;1;0;0;0;0;0;1;0;0;0;0;1;0;59340;0;0.0;2.0;0.0;0.0
5;5;1.0;0.0;7580;2016;1;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;13055;5;0.0;1.0;0.0;0.0
6;6;1.0;0.0;11501;2015;0;0;1;2;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;33015;1;1.0;2.0;0.0;0.0
7;7;0.99726776;0.0;9102;2016;1;0;1;2;3;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;59350;2;1.0;0.0;0.0;0.0
8;8;0.99726776;0.0;11999;2016;0;0;1;2;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;88383;1;0.0;0.0;0.0;0.0
9;9;1.0;0.3;9772;2013;0;1;0;2;2;3;0;1;0;0;0;0;0;1;0;0;0;0;1;0;83061;10;1.0;1.0;0.0;0.0
10;10;0.081967213;0.0;8043;2012;0;0;1;2;3;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;59599;1;1.0;1.0;0.0;0.0
11;11;1.0;0.6;19571;2015;0;1;0;2;1;4;0;0;0;1;0;0;1;0;0;0;0;0;1;0;10387;1;1.0;1.0;0.0;0.0
12;12;1.0;0.0;5907;2013;0;1;1;2;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;34324;10;0.0;0.0;0.0;0.0
13;13;1.0;0.0;7226;2013;1;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;67389;0;0.0;0.0;0.0;0.0
14;14;1.0;0.0;10850;2012;0;0;1;2;4;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;06083;2;2.0;0.0;1.0;0.0
15;15;1.0;0.0;6189;2012;0;1;0;2;1;3;0;0;0;0;1;0;1;0;0;0;1;0;0;0;74085;0;1.0;0.0;0.0;0.0
16;16;1.0;0.0;5214;2014;0;1;0;2;2;3;0;1;0;0;0;1;0;0;0;0;0;1;0;0;34172;5;0.0;1.0;0.0;0.0
17;17;0.99726776;0.0;1887;2016;0;1;1;2;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;34032;5;1.0;1.0;0.0;0.0
18;18;1.0;0.0;14852;2013;1;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;13055;5;0.0;1.0;0.0;0.0
19;19;1.0;0.0;12901;2012;0;0;1;2;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;84137;1;0.0;1.0;0.0;0.0
20;20;1.0;0.0;18277;2013;0;1;0;1;2;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;83123;1;0.0;0.0;0.0;0.0
21;21;1.0;0.0;9210;2016;1;1;0;2;2;5;0;1;0;0;0;0;1;0;0;0;0;1;0;0;13055;5;0.0;1.0;0.0;0.0
22;22;0.580821918;0.0;16368;2013;1;1;0;1;2;3;0;0;1;0;0;0;0;1;0;0;1;0;0;0;95176;1;0.0;1.0;0.0;0.0
23;23;1.0;0.0;17910;2015;1;1;0;2;3;4;0;0;0;0;1;0;1;0;0;0;0;1;0;0;93055;1;1.0;1.0;0.0;0.0
24;24;1.0;0.0;14025;2015;0;0;1;2;2;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;13001;1;0.0;1.0;0.0;0.0
25;25;1.0;0.3;17944;2013;0;1;0;2;2;3;0;1;0;0;0;0;1;0;0;0;1;0;0;0;26064;1;0.0;0.0;0.0;0.0
26;26;1.0;0.0;6127;2013;0;1;1;2;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;73029;1;0.0;0.0;0.0;0.0
27;27;1.0;0.0;14116;2016;0;0;1;2;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;06121;5;0.0;0.0;0.0;0.0
28;28;1.0;0.0;12668;2013;0;1;0;2;4;5;0;1;0;0;0;0;1;0;0;0;1;0;0;0;06083;2;2.0;0.0;1.0;0.0
29;29;1.0;0.0;12161;2014;0;0;1;2;4;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;06088;2;1.0;1.0;0.0;0.0
30;30;1.0;0.0;13018;2015;1;0;1;2;3;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;92024;1;1.0;0.0;0.0;0.0
31;31;0.378082192;0.0;15928;2013;1;1;0;2;2;4;1;0;0;0;0;0;0;0;1;0;0;0;0;1;83070;20;1.0;0.0;0.0;0.0
32;32;0.99726776;0.0;8501;2016;0;0;1;2;4;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;06029;10;1.0;1.0;0.0;0.0
33;33;1.0;0.0;18659;2013;0;1;0;2;1;4;0;1;0;0;0;0;0;0;0;1;0;0;1;0;10387;1;1.0;1.0;0.0;0.0
34;34;1.0;0.0;18030;2014;0;1;0;2;2;4;0;0;0;0;1;0;1;0;0;0;0;1;0;0;42218;1;0.0;0.0;0.0;0.0
35;35;1.0;0.6;10352;2012;0;1;0;2;2;3;0;1;0;0;0;0;1;0;0;0;0;1;0;0;83154;5;0.0;2.0;0.0;0.0
36;36;1.0;0.0;7036;2013;0;0;1;2;3;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;83137;1;1.0;1.0;0.0;0.0
37;37;0.41369863;0.0;4607;2013;0;1;1;2;2;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;62108;1;1.0;0.0;0.0;0.0
38;38;1.0;0.0;502;2012;0;1;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;21231;1;0.0;1.0;0.0;0.0
39;39;0.334246575;0.6;19725;2015;0;1;0;2;4;8;0;1;0;0;0;0;0;1;0;0;0;0;0;1;75056;1;1.0;1.0;0.0;0.0
40;40;1.0;0.0;13325;2012;1;0;1;2;2;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;83070;20;1.0;0.0;0.0;0.0
41;41;0.161643836;0.3;15867;2013;0;1;0;2;2;5;0;1;0;0;0;0;0;0;0;1;0;0;0;1;62826;2;1.0;0.0;0.0;0.0
42;42;1.0;0.0;15969;2016;1;1;0;2;3;10;0;0;0;0;1;0;0;0;1;0;0;0;0;1;94071;2;1.0;5.0;0.0;0.0
43;43;1.0;0.0;5842;2014;0;1;0;2;2;3;0;1;0;0;0;0;0;1;0;0;0;0;0;1;63113;1;1.0;1.0;0.0;0.0
44;44;1.0;0.0;11886;2012;1;0;1;2;4;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;75056;1;1.0;1.0;0.0;0.0
45;45;0.665753425;0.0;18816;2013;1;1;0;2;2;3;0;0;0;1;0;0;0;0;0;1;0;0;0;1;30351;10;0.0;1.0;0.0;0.0
46;46;1.0;0.0;14074;2015;0;0;1;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;51454;1;1.0;0.0;0.0;0.0
