;Identifiant;ft_2_categ;EXPO;ft_4_categ;ft_5_categ;ft_6_categ;ft_7_categ;ft_8_categ;ft_9_categ;ft_10_categ;ft_11_categ;ft_12_categ;ft_13_categ;ft_14_categ;ft_15_categ;ft_16_categ;ft_17_categ;ft_18_categ;ft_19_categ;superficief;ft_21_categ;ft_23_categ;ft_24_categ;Insee;ft_22_categ_c;target
0;18702;2014;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1351.0;4;0.0;2;65440;2012.0;0
1;3877;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1972.0;2;0.0;0;14341;1980.0;1
2;4942;2013;1.0;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1630.0;4;0.0;0;75109;1965.1201847262896;0
3;13428;2013;0.246575342;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;532.0;3;0.0;0;92004;1965.1201847262896;0
4;17137;2015;1.0;0;V;N;2;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;1050.0;2;0.0;4;59340;1972.0;0
5;7580;2016;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2039.0;2;0.0;0;13206;1960.0;1
6;11501;2015;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;750.0;1;0.0;0;33015;1960.0;0
7;9102;2016;0.99726776;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;570.0;3;0.0;0;59350;1965.1201847262896;0
8;11999;2016;0.99726776;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;835.0;1;0.0;0;88383;1980.0;0
9;9772;2013;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;1015.0;2;0.3;3;83061;1972.0;0
10;8043;2012;0.081967213;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;752.0;3;0.0;0;59599;1965.1201847262896;0
11;19571;2015;1.0;0;V;N;1;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;effpi;2;1395.0;1;0.6;4;10387;1960.0;0
12;5907;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;200.0;2;0.0;0;34324;1960.0;0
13;7226;2013;1.0;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;900.0;2;0.0;0;67389;1980.0;0
14;10850;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;270.0;4;0.0;0;06083;1960.0;0
15;6189;2012;1.0;0;V;N;1;O;1;O;N;O;N;N;AUTRE;IDENTIQUE;V;pi;2;300.0;1;0.0;3;74085;1961.0;0
16;5214;2014;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;810.0;2;0.0;3;34172;1930.0;0
17;1887;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;4035.0;2;0.0;0;34032;1980.0;1
18;14852;2013;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;402.0;2;0.0;0;13204;1960.0;0
19;12901;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1614.0;1;0.0;0;84137;1988.0;0
20;18277;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;1;460.0;2;0.0;2;83123;1960.0;0
21;9210;2016;1.0;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;750.0;2;0.0;5;13205;1950.0;0
22;16368;2013;0.580821918;1;V;N;1;O;1;O;N;O;O;O;AUTRE;IDENTIQUE;V;eff;1;400.0;2;0.0;3;95176;1970.0;0
23;17910;2015;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;pi;2;850.0;3;0.0;4;93055;1960.0;1
24;14025;2015;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;15.0;2;0.0;0;13001;1965.1201847262896;0
25;17944;2013;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;400.0;2;0.3;3;26064;1949.0;0
26;6127;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1129.0;1;0.0;0;73029;1960.0;0
27;14116;2016;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;4565.0;4;0.0;0;06121;1980.0;0
28;12668;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;400.0;4;0.0;5;06083;1960.0;0
29;12161;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;340.0;4;0.0;0;06088;1980.0;0
30;13018;2015;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1970.0;3;0.0;0;92024;1960.0;0
31;15928;2013;0.378082192;1;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;V;2;6486.0;2;0.0;4;83070;1980.0;1
32;8501;2016;0.99726776;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;4393.0;4;0.0;0;06029;1965.1201847262896;1
33;18659;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1510.0;1;0.0;4;10387;2011.0;0
34;18030;2014;1.0;0;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;960.0;2;0.0;4;42218;1960.0;1
35;10352;2012;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;900.0;2;0.6;3;83154;1950.0;0
36;7036;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1876.0;3;0.0;0;83137;1980.0;0
37;4607;2013;0.41369863;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;420.0;2;0.0;0;62108;1960.0;0
38;502;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;591.0;2;0.0;0;21231;1960.0;0
39;19725;2015;0.334246575;0;V;N;3;O;1;O;N;O;N;N;AUTRE;IDENTIQUE;V;base;2;2720.0;4;0.6;8;75118;1974.0;0
40;13325;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;300.0;2;0.0;0;83070;1980.0;0
41;15867;2013;0.161643836;0;V;N;3;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;3350.0;2;0.3;5;62826;1986.0;0
42;15969;2016;1.0;1;V;N;2;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;pi;2;3570.0;3;0.0;10;94071;1980.0;1
43;5842;2014;1.0;0;V;N;2;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;2210.0;2;0.0;3;63113;1970.0;0
44;11886;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;680.0;4;0.0;0;75117;1960.0;0
45;18816;2013;0.665753425;1;V;N;3;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;5950.0;2;0.0;3;30351;1992.0;1
46;14074;2015;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;885.0;2;0.0;0;51454;1960.0;0
47;13577;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;670.0;2;0.0;0;51454;1960.0;0
