Identifiant;EXPO;ft_23_categ;ft_4_categ;ft_5_categ;ft_6_categ;ft_19_categ;ft_21_categ;ft_24_categ;age_batiment;superficief_petit;superficief_moyen;superficief_trés-grand;superficief_Géant;ft_18_categ_V;ft_18_categ_base;ft_18_categ_eff;ft_18_categ_effpi;ft_18_categ_pi
18702;1.0;0.0;0;1;0;2;4;2;2.0;0;0;1;0;0;1;0;0;0
3877;1.0;0.0;0;1;1;2;2;0;34.0;0;0;1;0;0;1;0;0;0
4942;1.0;0.0;1;1;1;2;4;0;47.87981527371062;0;0;1;0;0;1;0;0;0
13428;0.246575342;0.0;0;0;1;2;3;0;47.87981527371062;0;1;0;0;0;1;0;0;0
17137;1.0;0.0;0;1;0;2;2;4;43.0;0;0;1;0;0;1;0;0;0
7580;1.0;0.0;1;0;1;2;2;0;56.0;0;0;1;0;0;1;0;0;0
11501;1.0;0.0;0;0;1;2;1;0;55.0;0;1;0;0;0;1;0;0;0
9102;0.99726776;0.0;1;0;1;2;3;0;50.87981527371062;0;1;0;0;0;1;0;0;0
11999;0.99726776;0.0;0;0;1;2;1;0;36.0;0;1;0;0;0;1;0;0;0
9772;1.0;0.3;0;1;0;2;2;3;41.0;0;0;1;0;0;1;0;0;0
8043;0.081967213;0.0;0;0;1;2;3;0;46.87981527371062;0;1;0;0;0;1;0;0;0
19571;1.0;0.6;0;1;0;2;1;4;55.0;0;0;1;0;0;0;0;1;0
5907;1.0;0.0;0;1;1;2;2;0;53.0;1;0;0;0;0;1;0;0;0
7226;1.0;0.0;1;1;1;2;2;0;33.0;0;1;0;0;0;1;0;0;0
10850;1.0;0.0;0;0;1;2;4;0;52.0;1;0;0;0;0;1;0;0;0
6189;1.0;0.0;0;1;0;2;1;3;51.0;1;0;0;0;0;0;0;0;1
5214;1.0;0.0;0;1;0;2;2;3;84.0;0;1;0;0;0;1;0;0;0
1887;0.99726776;0.0;0;1;1;2;2;0;36.0;0;0;0;1;0;1;0;0;0
14852;1.0;0.0;1;0;1;2;2;0;53.0;1;0;0;0;0;1;0;0;0
12901;1.0;0.0;0;0;1;2;1;0;24.0;0;0;1;0;0;1;0;0;0
18277;1.0;0.0;0;1;0;1;2;2;53.0;1;0;0;0;0;1;0;0;0
9210;1.0;0.0;1;1;0;2;2;5;66.0;0;1;0;0;0;1;0;0;0
16368;0.5808219179999999;0.0;1;1;0;1;2;3;43.0;1;0;0;0;0;0;1;0;0
17910;1.0;0.0;1;1;0;2;3;4;55.0;0;1;0;0;0;0;0;0;1
14025;1.0;0.0;0;0;1;2;2;0;49.87981527371062;1;0;0;0;0;1;0;0;0
17944;1.0;0.3;0;1;0;2;2;3;64.0;1;0;0;0;0;1;0;0;0
6127;1.0;0.0;0;1;1;2;1;0;53.0;0;0;1;0;0;1;0;0;0
14116;1.0;0.0;0;0;1;2;4;0;36.0;0;0;0;1;0;1;0;0;0
12668;1.0;0.0;0;1;0;2;4;5;53.0;1;0;0;0;0;1;0;0;0
12161;1.0;0.0;0;0;1;2;4;0;34.0;1;0;0;0;0;1;0;0;0
13018;1.0;0.0;1;0;1;2;3;0;55.0;0;0;1;0;0;1;0;0;0
15928;0.37808219200000004;0.0;1;1;0;2;2;4;33.0;0;0;0;1;1;0;0;0;0
8501;0.99726776;0.0;0;0;1;2;4;0;50.87981527371062;0;0;0;1;0;1;0;0;0
18659;1.0;0.0;0;1;0;2;1;4;2.0;0;0;1;0;0;1;0;0;0
18030;1.0;0.0;0;1;0;2;2;4;54.0;0;1;0;0;0;0;0;0;1
10352;1.0;0.6;0;1;0;2;2;3;62.0;0;1;0;0;0;1;0;0;0
7036;1.0;0.0;0;0;1;2;3;0;33.0;0;0;1;0;0;1;0;0;0
4607;0.41369863;0.0;0;1;1;2;2;0;53.0;1;0;0;0;0;1;0;0;0
502;1.0;0.0;0;1;1;2;2;0;52.0;0;1;0;0;0;1;0;0;0
19725;0.334246575;0.6;0;1;0;2;4;8;41.0;0;0;0;1;0;1;0;0;0
13325;1.0;0.0;1;0;1;2;2;0;32.0;1;0;0;0;0;1;0;0;0
15867;0.16164383599999999;0.3;0;1;0;2;2;5;27.0;0;0;0;1;0;1;0;0;0
15969;1.0;0.0;1;1;0;2;3;10;36.0;0;0;0;1;0;0;0;0;1
5842;1.0;0.0;0;1;0;2;2;3;44.0;0;0;0;1;0;1;0;0;0
11886;1.0;0.0;1;0;1;2;4;0;52.0;0;1;0;0;0;1;0;0;0
18816;0.665753425;0.0;1;1;0;2;2;3;21.0;0;0;0;1;0;0;0;1;0
14074;1.0;0.0;0;0;1;2;2;0;55.0;0;1;0;0;0;1;0;0;0
13577;1.0;0.0;0;0;1;2;2;0;52.0;0;1;0;0;0;1;0;0;0
7584;0.0;0.0;0;1;1;2;3;0;48.87981527371062;0;0;0;1;0;1;0;0;0
6168;0.99726776;0.0;0;0;1;2;2;0;36.0;0;0;1;0;0;1;0;0;0
14349;1.0;0.0;0;1;0;2;2;3;54.0;0;0;1;0;0;1;0;0;0
17360;1.0;0.3;0;1;0;2;2;3;25.0;0;1;0;0;0;0;0;1;0
19922;0.5792349729999999;0.6;1;1;0;2;2;1;66.0;1;0;0;0;0;1;0;0;0
16428;1.0;0.0;1;1;0;2;1;5;9.0;0;0;0;1;0;1;0;0;0
7607;1.0;0.6;0;1;0;1;2;4;89.0;1;0;0;0;0;1;0;0;0
4536;1.0;0.0;0;1;1;2;2;0;55.0;0;1;0;0;0;1;0;0;0
10707;1.0;0.0;1;0;1;2;2;0;26.0;0;1;0;0;0;1;0;0;0
9744;0.99726776;0.0;0;1;1;2;2;0;56.0;0;1;0;0;0;1;0;0;0
7699;1.0;0.0;0;0;1;2;2;0;33.0;0;0;1;0;0;1;0;0;0
15896;1.0;0.3;1;1;0;2;4;6;95.0;0;0;1;0;0;1;0;0;0
2490;1.0;0.0;0;1;0;2;2;6;73.0;0;0;1;0;0;1;0;0;0
2671;1.0;0.6;0;1;0;2;2;3;23.0;0;0;0;1;0;1;0;0;0
1322;1.0;0.0;1;1;1;2;2;0;34.0;0;0;0;1;0;1;0;0;0
11545;1.0;0.0;1;0;1;2;2;0;52.0;0;1;0;0;0;1;0;0;0
10686;1.0;0.0;0;1;0;2;2;4;112.0;1;0;0;0;0;1;0;0;0
8476;1.0;0.0;0;0;1;2;4;0;53.0;1;0;0;0;0;1;0;0;0
15816;1.0;0.0;0;1;0;2;2;6;43.0;0;0;0;1;0;0;0;1;0
1903;1.0;0.0;0;1;1;2;2;0;36.0;0;0;1;0;0;1;0;0;0
6296;0.163934426;0.3;0;1;0;1;2;3;112.0;0;0;1;0;0;1;0;0;0
2799;1.0;0.0;0;1;1;2;2;0;34.0;0;0;0;1;0;1;0;0;0
14504;0.581967213;0.0;0;0;1;2;2;0;32.0;0;0;1;0;0;1;0;0;0
15941;1.0;0.0;0;1;0;2;1;3;25.0;0;0;0;1;0;1;0;0;0
14284;1.0;0.0;1;0;1;2;2;0;54.0;0;0;1;0;0;1;0;0;0
13446;1.0;0.0;1;0;1;2;4;0;54.0;1;0;0;0;0;1;0;0;0
12758;1.0;0.0;0;0;1;2;2;0;32.0;0;0;1;0;0;1;0;0;0
16735;1.0;0.0;1;1;0;2;2;5;2.0;0;0;0;1;0;1;0;0;0
6458;1.0;0.0;0;1;1;2;1;0;32.0;1;0;0;0;0;1;0;0;0
10098;1.0;0.0;0;1;1;2;1;0;52.0;1;0;0;0;0;1;0;0;0
11296;1.0;0.0;1;0;1;2;2;0;27.0;0;0;1;0;0;1;0;0;0
10770;0.832876712;0.0;1;0;1;2;3;0;54.0;1;0;0;0;0;1;0;0;0
17520;1.0;0.0;0;1;0;2;4;7;35.0;0;0;0;1;0;1;0;0;0
2056;1.0;0.0;1;1;0;2;4;5;93.0;0;1;0;0;0;0;0;0;1
2586;1.0;0.0;0;1;1;2;1;0;34.0;0;0;0;1;0;1;0;0;0
4296;1.0;0.6;0;1;0;2;2;4;22.0;0;0;1;0;0;1;0;0;0
13271;0.9150684929999999;0.0;0;0;1;2;2;0;25.0;0;0;1;0;0;1;0;0;0
70;1.0;0.0;0;0;1;2;2;0;54.0;0;1;0;0;0;1;0;0;0
6897;1.0;0.0;1;0;1;2;2;0;32.0;1;0;0;0;0;1;0;0;0
10973;0.99726776;0.0;1;0;1;2;3;0;50.87981527371062;1;0;0;0;0;1;0;0;0
4187;1.0;0.0;0;1;1;2;3;0;55.0;0;1;0;0;0;1;0;0;0
11901;1.0;0.0;1;0;1;2;2;0;34.0;0;1;0;0;0;1;0;0;0
15222;0.99726776;0.0;1;1;0;2;2;2;116.0;0;1;0;0;0;0;0;1;0
11119;1.0;0.0;0;1;0;2;1;5;63.0;0;1;0;0;0;1;0;0;0
2593;1.0;0.0;0;1;1;2;1;0;32.0;1;0;0;0;0;1;0;0;0
10177;0.24863388;0.0;1;1;1;2;2;0;24.0;0;0;0;1;0;1;0;0;0
11743;1.0;0.0;1;0;1;2;3;0;54.0;0;0;0;1;0;1;0;0;0
16045;0.24863388;0.0;0;1;0;2;2;6;32.0;0;0;0;1;0;0;0;0;1
10116;1.0;0.0;0;1;0;2;2;5;63.0;0;1;0;0;0;0;0;0;1
3805;1.0;0.0;0;1;1;2;2;0;35.0;0;0;1;0;0;1;0;0;0
19077;0.836065574;0.0;0;1;0;2;1;4;51.0;0;0;1;0;0;0;0;1;0
15833;1.0;0.3;0;1;0;2;4;3;42.0;0;1;0;0;0;1;0;0;0
16085;1.0;0.0;0;1;0;2;1;3;35.0;0;0;0;1;0;1;0;0;0
13470;1.0;0.6;0;1;0;2;1;4;52.0;0;1;0;0;0;1;0;0;0
4878;0.99726776;0.0;0;1;0;2;2;4;46.0;0;0;0;1;0;1;0;0;0
13093;0.665753425;0.0;0;0;1;2;1;0;26.0;0;0;0;1;0;1;0;0;0
792;1.0;0.0;0;1;1;2;2;0;46.87981527371062;1;0;0;0;0;1;0;0;0
7480;1.0;0.3;0;1;0;2;4;4;11.0;0;0;0;1;1;0;0;0;0
13622;1.0;0.0;1;0;1;2;3;0;32.0;0;0;0;1;0;1;0;0;0
19090;1.0;0.0;0;1;0;2;2;3;7.0;0;0;0;1;0;1;0;0;0
7301;1.0;0.0;0;1;0;1;2;4;55.0;0;1;0;0;0;0;0;0;1
10781;1.0;0.0;0;0;1;2;2;0;52.0;1;0;0;0;0;1;0;0;0
760;1.0;0.0;0;1;1;2;1;0;54.0;0;0;1;0;0;1;0;0;0
11415;0.452054795;0.0;0;0;1;2;2;0;33.0;1;0;0;0;0;1;0;0;0
13130;1.0;0.0;0;0;1;2;3;0;52.0;1;0;0;0;0;1;0;0;0
19561;1.0;0.6;0;1;0;2;1;2;25.0;0;1;0;0;0;0;0;0;1
9960;1.0;0.0;0;1;1;2;2;0;34.0;0;0;0;1;0;1;0;0;0
7601;1.0;0.6;0;1;0;2;2;4;17.0;0;0;1;0;0;0;0;0;1
15282;1.0;0.0;1;1;0;2;4;4;112.0;0;1;0;0;0;0;0;1;0
17796;0.983561644;0.3;1;1;0;2;1;3;10.0;1;0;0;0;0;1;0;0;0
7677;1.0;0.0;0;1;1;2;2;0;32.0;0;0;1;0;0;1;0;0;0
10147;1.0;0.0;0;1;1;2;2;0;54.0;1;0;0;0;0;1;0;0;0
106;1.0;0.0;0;1;1;2;4;0;52.0;1;0;0;0;0;1;0;0;0
7873;1.0;0.0;0;0;1;2;2;0;53.0;0;1;0;0;0;1;0;0;0
5558;1.0;0.0;0;1;1;2;2;0;34.0;0;0;0;1;0;1;0;0;0
18463;1.0;0.0;1;1;0;2;3;8;44.0;0;0;0;1;0;0;0;1;0
18695;1.0;0.0;1;1;0;2;4;6;144.0;0;0;1;0;0;0;0;1;0
16147;1.0;0.0;1;1;0;2;4;6;125.0;0;0;1;0;0;0;0;0;1
9798;0.271232877;0.0;0;1;0;2;2;7;73.0;0;0;1;0;0;0;0;0;1
6261;1.0;0.6;0;1;0;1;2;5;60.0;1;0;0;0;0;1;0;0;0
267;1.0;0.0;0;1;0;2;2;4;45.0;0;0;1;0;0;1;0;0;0
15429;0.9972602740000001;0.0;0;1;0;2;1;4;21.0;0;0;1;0;0;1;0;0;0
6964;1.0;0.0;1;0;1;2;2;0;32.0;0;1;0;0;0;1;0;0;0
15368;1.0;0.3;0;1;0;2;2;3;49.0;0;1;0;0;0;1;0;0;0
6908;1.0;0.0;0;0;1;2;2;0;52.0;0;0;0;1;0;1;0;0;0
12975;1.0;0.0;1;0;1;2;2;0;52.0;0;1;0;0;0;1;0;0;0
3901;1.0;0.0;0;1;0;2;4;7;35.0;0;0;0;1;0;1;0;0;0
780;1.0;0.0;0;1;0;2;1;4;55.0;0;1;0;0;0;1;0;0;0
5435;0.5452054789999999;0.0;0;1;1;2;1;0;26.0;1;0;0;0;0;1;0;0;0
11689;1.0;0.0;0;0;1;2;4;0;54.0;1;0;0;0;0;1;0;0;0
4622;1.0;0.0;0;1;1;2;1;0;24.0;0;1;0;0;0;1;0;0;0
11097;1.0;0.0;1;1;0;2;2;3;35.0;0;1;0;0;0;1;0;0;0
9008;1.0;0.0;0;1;0;2;4;6;164.0;0;0;0;1;0;0;0;1;0
11144;0.163934426;0.0;0;0;1;1;2;0;52.0;0;1;0;0;0;1;0;0;0
11987;0.99726776;0.0;0;1;0;2;1;4;116.0;0;1;0;0;0;0;0;0;1
9799;1.0;0.0;0;1;0;2;4;4;114.0;1;0;0;0;0;0;0;0;1
2619;1.0;0.0;0;1;1;2;2;0;55.0;0;1;0;0;0;1;0;0;0
940;1.0;0.0;0;1;1;2;1;0;54.0;0;0;1;0;0;1;0;0;0
7516;1.0;0.0;0;0;1;2;2;0;56.0;1;0;0;0;0;1;0;0;0
8923;1.0;0.0;0;1;0;2;4;3;14.0;0;0;1;0;0;0;0;0;1
9406;1.0;0.0;1;0;1;2;2;0;46.87981527371062;0;1;0;0;0;1;0;0;0
4631;1.0;0.0;0;0;1;2;2;0;53.0;0;1;0;0;0;1;0;0;0
1063;1.0;0.0;0;1;1;2;1;0;33.0;0;0;0;1;0;1;0;0;0
18903;0.99726776;0.0;1;1;0;2;2;4;4.0;0;0;1;0;0;1;0;0;0
5865;1.0;0.0;0;1;1;2;1;0;33.0;0;0;1;0;0;1;0;0;0
15562;1.0;0.0;1;1;0;2;3;3;62.0;1;0;0;0;0;0;0;1;0
4142;1.0;0.0;0;0;1;2;1;0;27.0;0;0;1;0;0;1;0;0;0
8379;0.99726776;0.0;0;1;1;2;3;0;56.0;0;1;0;0;0;1;0;0;0
18315;0.99726776;0.0;1;1;0;2;1;7;5.0;0;0;0;1;1;0;0;0;0
3644;1.0;0.0;0;1;1;2;3;0;26.0;1;0;0;0;0;1;0;0;0
8750;1.0;0.0;0;0;1;2;4;0;54.0;0;1;0;0;0;1;0;0;0
7038;0.99726776;0.0;0;0;1;2;3;0;36.0;0;0;1;0;0;1;0;0;0
17752;1.0;0.0;0;1;0;2;4;4;53.0;0;0;1;0;0;1;0;0;0
17052;1.0;0.0;0;1;0;2;2;5;65.0;0;1;0;0;0;1;0;0;0
13257;1.0;0.0;1;0;1;2;2;0;34.0;1;0;0;0;0;1;0;0;0
15873;1.0;0.0;1;1;0;2;3;8;33.0;0;0;0;1;0;0;0;1;0
7136;0.74863388;0.0;0;1;1;2;2;0;52.0;0;0;1;0;0;1;0;0;0
18926;0.99726776;0.0;0;1;0;2;1;4;46.0;0;0;1;0;0;0;0;1;0
5348;1.0;0.0;0;0;1;2;4;0;34.0;0;0;1;0;0;1;0;0;0
18008;1.0;0.3;0;1;0;2;3;3;62.0;1;0;0;0;0;1;0;0;0
1431;1.0;0.0;0;1;1;2;2;0;36.0;0;0;0;1;0;1;0;0;0
13525;0.99726776;0.0;0;0;1;2;1;0;28.0;0;1;0;0;0;1;0;0;0
19002;1.0;0.0;1;1;0;2;3;4;44.0;0;0;0;1;0;0;0;1;0
5159;1.0;0.6;1;1;0;2;2;3;14.0;0;1;0;0;0;0;0;1;0
16524;1.0;0.0;1;1;0;2;3;8;42.0;0;0;0;1;0;0;0;1;0
4214;1.0;0.0;0;1;0;1;2;4;82.0;1;0;0;0;0;1;0;0;0
6953;0.330601093;0.0;1;0;1;2;4;0;46.87981527371062;1;0;0;0;0;1;0;0;0
19010;0.99726776;0.0;1;1;0;2;2;4;58.0;0;0;0;1;0;0;0;1;0
14543;1.0;0.0;1;0;1;2;3;0;53.0;0;1;0;0;0;1;0;0;0
