Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,gini_normalized,Time Taken
QuadraticDiscriminantAnalysis,0.7004448838358873,0.6299646251890257,0.6299646251890257,0.7111679932018441,0.25900302441132006,0.023936986923217773
NearestCentroid,0.6559565002471577,0.6266350723698423,0.6266350723698423,0.6777928802419593,0.25214949233095696,0.019082069396972656
GaussianNB,0.6950074147305981,0.6220944048390581,0.6220944048390582,0.7058535536514264,0.24325448260963492,0.019916772842407227
BernoulliNB,0.7528423133959466,0.5860924335709656,0.5860924335709656,0.7275018237695071,0.1590219269820696,0.02253413200378418
ExtraTreesClassifier,0.7246663371230845,0.5712100345647009,0.5712100345647009,0.7079089915605045,0.1334197450853317,0.702815055847168
KNeighborsClassifier,0.7474048442906575,0.5674578742709009,0.5674578742709009,0.7157934045167249,0.1197693886368547,0.322314977645874
PassiveAggressiveClassifier,0.6539792387543253,0.5643409753726507,0.5643409753726506,0.6660388502086336,0.12039587383884218,0.026285648345947266
LabelPropagation,0.7296094908551656,0.5636861363145388,0.5636861363145388,0.7067256098190141,0.13124594944912496,2.5549187660217285
BaggingClassifier,0.7380128521997034,0.5620186595376971,0.5620186595376971,0.7093067793041145,0.1150383452149492,0.2535429000854492
DecisionTreeClassifier,0.6831438457736035,0.5619308976020739,0.561930897602074,0.6830299654905176,0.11414452365521711,0.05316615104675293
LabelSpreading,0.7291151754819575,0.5612092244545258,0.5612092244545257,0.7053239109233872,0.1251296176279973,4.177791118621826
LinearDiscriminantAnalysis,0.7736035590706871,0.5609506642903435,0.5609506642903435,0.7196575592074748,0.12527543745949463,0.05478501319885254
RandomForestClassifier,0.7380128521997034,0.5605834143443509,0.5605834143443509,0.7085513913223347,0.12124648952257518,0.8329317569732666
LGBMClassifier,0.7666831438457736,0.555696424713761,0.5556964247137611,0.7142864775921302,0.12200529271980985,0.26544618606567383
ExtraTreeClassifier,0.6688086999505685,0.5489455065888961,0.5489455065888961,0.6708849205968098,0.09789911427954207,0.02454972267150879
LogisticRegression,0.7711319822046465,0.5456956146035861,0.5456956146035861,0.7072038609712951,0.09710790667530791,0.03180074691772461
XGBClassifier,0.749876421156698,0.5446789263339814,0.5446789263339814,0.702643379160256,0.07987146251890265,0.3608818054199219
CalibratedClassifierCV,0.7711319822046465,0.5421075016202204,0.5421075016202204,0.7041146313119258,0.08209656513285819,2.888715982437134
AdaBoostClassifier,0.7691547207118141,0.5400937027435732,0.5400937027435732,0.7021913301031412,0.07554547418448905,0.29142093658447266
LinearSVC,0.7706376668314384,0.5288662508101102,0.5288662508101103,0.6916197410845107,0.058438647656081096,0.7361969947814941
Perceptron,0.7513593672763222,0.5284281162238065,0.5284281162238065,0.690647396896379,0.05355908403542896,0.026163816452026367
RidgeClassifierCV,0.7706376668314384,0.528148628213437,0.528148628213437,0.690890129677503,0.05695074530136099,0.03225994110107422
RidgeClassifier,0.7701433514582303,0.5278245841434436,0.5278245841434436,0.6905902899905845,0.056507885072369805,0.022757768630981445
SVC,0.7696490360850222,0.523194804493411,0.5231948044934112,0.6858014687440576,0.045922445452581416,2.569689989089966
SGDClassifier,0.7627286208601087,0.5007176225966732,0.5007176225966732,0.6609887560224249,-0.004733743789155256,0.09506893157958984
DummyClassifier,0.6347009391992091,0.4878348455389933,0.48783484553899326,0.6318506410747466,-0.04147494059192054,0.01881885528564453
